optimizer: D:\EDA\ICCAD2\FloorSet\iccad2026contest\sol\eazyver2\my_optimizer_mib_square.py
tests: 100
feasible: 100
plain_avg_cost: 2.661891
contest_total_score: 4.216332
delta(total - mean): 1.554441

Per-case:
test_id blocks feasible cost norm_weight weighted_contrib hpwl_gap area_gap v_rel
 99 120 1   4.395181   0.63212056     2.77828405  1.102338  0.383202  0.089552
 98 119 1   4.275218   0.23254416     0.99417702  1.216838  0.264202  0.115385
 97 118 1   3.076508   0.08554821     0.26318981  1.157162  0.192109  0.166667
 96 117 1   3.286844   0.03147143     0.10344168  1.101185  0.252847  0.092308
 95 116 1   4.366319   0.01157769     0.05055190  1.217712  0.288718  0.075758
 94 115 1   3.759195   0.00425919     0.01601114  1.108862  0.157579  0.076923
 93 114 1   4.398819   0.00156687     0.00689238  1.054258  0.122780  0.193548
 92 113 1   4.592572   0.00057642     0.00264725  1.514984  0.192097  0.107143
 91 112 1   2.240390   0.00021205     0.00047508  0.673038  0.157538  0.120690
 90 111 1   4.676872   0.00007801     0.00036484  1.183291  0.361198  0.151515
 89 110 1   6.525584   0.00002870     0.00018727  1.274455  0.550822  0.207547
 88 109 1   8.263130   0.00001056     0.00008724  1.257207  0.333231  0.238095
 87 108 1   3.673227   0.00000388     0.00001427  1.090228  0.204792  0.162791
 86 107 1   3.806319   0.00000143     0.00000544  1.000194  0.178992  0.163636
 85 106 1   3.021196   0.00000053     0.00000159  1.010854  0.166083  0.140625
 84 105 1   3.778253   0.00000019     0.00000073  1.384741  0.211421  0.145161
 83 104 1   3.506862   0.00000007     0.00000025  1.280421  0.261956  0.127273
 82 103 1   2.827766   0.00000003     0.00000007  1.096869  0.167533  0.101695
 81 102 1   2.162545   0.00000001     0.00000002  1.031574  0.135253  0.086207
 80 101 1   3.965186   0.00000000     0.00000001  0.856235  0.139449  0.142857
 79 100 1   5.279843   0.00000000     0.00000001  0.996342  0.489741  0.109091
 78  99 1   2.910900   0.00000000     0.00000000  1.027880  0.078955  0.147541
 77  98 1   2.759164   0.00000000     0.00000000  0.830406  0.087676  0.132075
 76  97 1   5.197110   0.00000000     0.00000000  1.133835  0.272324  0.186441
